bin,x,y,n
1,-0.4484872304120244,0.1620953955362967,135332
2,-0.18042591652576942,0.10509520129126872,135103
3,-0.11910436119808392,0.09582856462310357,135092
4,-0.08200037393368084,0.12867248584863783,144197
5,-0.05665999123786063,0.014989914305399931,160537
6,-0.04586819184057482,0.2210632458880321,184346
7,-0.033645744329389105,-0.003391825913069002,176318
8,-0.0310461303316439,0.24610157475812663,141805
9,-0.02487865579539728,-0.6388478408860183,3691
10,-0.012137645981884935,0.1872453471427372,184525
11,-0.002899746947465533,0.1757800756795688,184276
12,0.004148434252671535,0.3615110507979672,147230
13,0.009573650874255487,0.3737603875785334,148057
14,0.01812445538325968,-0.17707263391454756,130477
15,0.035620710458783296,-0.3040632349277922,127789
16,0.039693042375434744,-0.42791884830098803,123827
17,0.04421671154287013,-0.5596420269863065,120681
18,0.046505797303181516,-0.6892727643965458,117561
19,0.32607603606140206,-0.14528600032191474,68636
20,0.7233306199973257,-0.33478547842331025,133678
