bin,x,y,n,t
1,0.038848323805738064,5.236870841897248,178101,2010
1,0.041134110547799,5.218147705338917,183442,2011
1,0.04565946050157032,5.172915202498285,189262,2012
1,0.024751127561848146,5.166308870184081,191860,2013
2,1.571839922605849,4.3765653605459125,3141,2013
1,0.031723807111738715,5.161607328034732,196339,2014
2,1.6082960362888779,4.180684181521688,4522,2014
1,0.047711717895732746,5.20705460578516,197927,2015
2,1.6920261891158146,4.02786654231071,8730,2015
1,0.05664769715378817,5.326892422238581,200562,2016
2,1.0986122886681098,4.114498702586528,4560,2016
3,2.0693274214086963,3.884303635985202,6535,2016
1,0.05476468683651958,5.454523798430071,206243,2017
2,1.6454031984129,4.055609134759984,10155,2017
1,0.0515056962220664,5.617818654878746,211151,2018
2,1.6064976974394662,4.2105791577556895,9196,2018
1,0.04412595265379574,5.8710687285255325,215786,2019
2,1.5943172761415718,4.302358022406862,7547,2019
1,0.03930450088403581,6.362732594733845,218237,2020
2,1.5979007838572659,4.537589078844853,6878,2020
1,0.03712697273452069,6.700697218920092,219835,2021
2,1.600140625873539,4.886657802930776,6379,2021
1,0.03251012600292715,7.102770596701219,220608,2022
2,1.6248305201036712,5.201374722494804,6162,2022
