opt_metric,tenure_metric,n,pearson_corr,spearman_corr,slope,intercept,mean_opt,mean_tenure
any_opt_hire_rate_annual_pre_level,avg_tenure_years_annual_pre_level,235396,-0.013705382987660665,-0.11125562429778996,-0.005764208948494539,0.11305652102203949,0.08371250188618355,5.090727868829224
any_opt_hire_rate_annual_pre_level,avg_tenure_years_annual_pre_level,235396,-0.013705382987660665,-0.11125562429778996,-0.005764208948494539,0.11305652102203949,0.08371250188618355,5.090727868829224
any_opt_hire_rate_annual_pre_level,avg_tenure_new_hires_annual_pre_level,235396,-0.001573636761394634,-0.049587869009181565,-0.0012617240607096579,0.088692707196748,0.08371250188618355,3.9471430130002885
any_opt_hire_rate_annual_pre_level,avg_tenure_new_positions_annual_pre_level,235396,-0.0029161041399869162,-0.018778879169041685,-0.0378289984308669,0.10346515755825818,0.08371250188618355,0.5221564538160574
any_opt_hire_rate_annual_pre_level,avg_tenure_recent_grads_annual_pre_level,185679,-0.01701846873153585,-0.05403012076334426,-0.0794828433066448,0.10691087980335413,0.059278013752921604,0.5992848779536599
any_opt_hire_count_annual_pre_level,avg_tenure_years_annual_pre_level,238057,-0.02264468710532934,-0.11343030555057752,-0.01904844987534095,0.3776968827580166,0.2789936496318791,5.181693721645724
any_opt_hire_count_annual_pre_level,avg_tenure_years_annual_pre_level,238057,-0.02264468710532934,-0.11343030555057752,-0.01904844987534095,0.3776968827580166,0.2789936496318791,5.181693721645724
any_opt_hire_count_annual_pre_level,avg_tenure_new_hires_annual_pre_level,235396,0.00044622571823893926,-0.0351670612750762,0.0007595971128974231,0.2777928701941358,0.280791108631004,3.9471430130002885
any_opt_hire_count_annual_pre_level,avg_tenure_new_positions_annual_pre_level,235517,-0.0016389991652646548,-0.011481816895288322,-0.045047280836237685,0.3042423643214117,0.280718163669819,0.5222113347331906
any_opt_hire_count_annual_pre_level,avg_tenure_recent_grads_annual_pre_level,185683,-0.010776743823363322,-0.052399562892366185,-0.20683903929630024,0.426856073080176,0.302899813054216,0.5992885117223482
masters_opt_hire_rate_annual_pre_level,avg_tenure_years_annual_pre_level,235396,-0.015523940629277928,-0.09197503817171057,-0.004949216502221516,0.08593269865667455,0.06073758427994597,5.090727868829224
masters_opt_hire_rate_annual_pre_level,avg_tenure_years_annual_pre_level,235396,-0.015523940629277928,-0.09197503817171057,-0.004949216502221516,0.08593269865667455,0.06073758427994597,5.090727868829224
masters_opt_hire_rate_annual_pre_level,avg_tenure_new_hires_annual_pre_level,235396,-0.0011168413566203653,-0.02724016944372284,-0.0006787929452764202,0.06341687711116768,0.06073758427994597,3.9471430130002885
masters_opt_hire_rate_annual_pre_level,avg_tenure_new_positions_annual_pre_level,235396,-0.001300398624833758,-0.0001962939075845057,-0.012787459024273954,0.06741463853737899,0.06073758427994597,0.5221564538160574
masters_opt_hire_rate_annual_pre_level,avg_tenure_recent_grads_annual_pre_level,185679,-0.017774495935593746,-0.05413626542991486,-0.06160098755943649,0.08065581340401971,0.04373927309263788,0.5992848779536599
